State,County,cooling system type,climate zone,PUE mean,WR_CaseB_DWSF_L_per_kWh,WR_SWI_L_per_kWh
Georgia,McDuffie County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,McIntosh County,1,2A,1.2454,15.08772152,25.29053994
Georgia,McIntosh County,2,2A,1.18025,15.08772152,25.29053994
Georgia,McIntosh County,3,2A,1.58525,15.08772152,25.29053994
Georgia,McIntosh County,4,2A,1.4445,15.08772152,25.29053994
Georgia,McIntosh County,5,2A,1.6482,15.08772152,25.29053994
Georgia,McIntosh County,6,2A,1.7992,15.08772152,25.29053994
Georgia,McIntosh County,7,2A,1.9688,15.08772152,25.29053994
Georgia,McIntosh County,8,2A,1.8865,15.08772152,25.29053994
Georgia,McIntosh County,9,2A,2.15985,15.08772152,25.29053994
Georgia,McIntosh County,10,2A,2.19655,15.08772152,25.29053994
Georgia,McIntosh County,11,2A,1.29975,15.08772152,25.29053994
Georgia,McIntosh County,12,2A,1.47915,15.08772152,25.29053994
Georgia,McIntosh County,13,2A,1.39785,15.08772152,25.29053994
Georgia,McIntosh County,14,2A,1.7466,15.08772152,25.29053994
Georgia,Meriwether County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Meriwether County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Meriwether County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Meriwether County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Meriwether County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Meriwether County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Meriwether County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Meriwether County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Meriwether County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Meriwether County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Meriwether County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Meriwether County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Meriwether County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Meriwether County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Miller County,1,2A,1.2454,15.08772152,25.29053994
Georgia,Miller County,2,2A,1.18025,15.08772152,25.29053994
Georgia,Miller County,3,2A,1.58525,15.08772152,25.29053994
Georgia,Miller County,4,2A,1.4445,15.08772152,25.29053994
Georgia,Miller County,5,2A,1.6482,15.08772152,25.29053994
Georgia,Miller County,6,2A,1.7992,15.08772152,25.29053994
Georgia,Miller County,7,2A,1.9688,15.08772152,25.29053994
Georgia,Miller County,8,2A,1.8865,15.08772152,25.29053994
Georgia,Miller County,9,2A,2.15985,15.08772152,25.29053994
Georgia,Miller County,10,2A,2.19655,15.08772152,25.29053994
Georgia,Miller County,11,2A,1.29975,15.08772152,25.29053994
Georgia,Miller County,12,2A,1.47915,15.08772152,25.29053994
Georgia,Miller County,13,2A,1.39785,15.08772152,25.29053994
Georgia,Miller County,14,2A,1.7466,15.08772152,25.29053994
Georgia,Mitchell County,1,2A,1.2454,15.08772152,25.29053994
Georgia,Mitchell County,2,2A,1.18025,15.08772152,25.29053994
Georgia,Mitchell County,3,2A,1.58525,15.08772152,25.29053994
Georgia,Mitchell County,4,2A,1.4445,15.08772152,25.29053994
Georgia,Mitchell County,5,2A,1.6482,15.08772152,25.29053994
Georgia,Mitchell County,6,2A,1.7992,15.08772152,25.29053994
Georgia,Mitchell County,7,2A,1.9688,15.08772152,25.29053994
Georgia,Mitchell County,8,2A,1.8865,15.08772152,25.29053994
Georgia,Mitchell County,9,2A,2.15985,15.08772152,25.29053994
Georgia,Mitchell County,10,2A,2.19655,15.08772152,25.29053994
Georgia,Mitchell County,11,2A,1.29975,15.08772152,25.29053994
Georgia,Mitchell County,12,2A,1.47915,15.08772152,25.29053994
Georgia,Mitchell County,13,2A,1.39785,15.08772152,25.29053994
Georgia,Mitchell County,14,2A,1.7466,15.08772152,25.29053994
Georgia,Monroe County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Monroe County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Monroe County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Monroe County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Monroe County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Monroe County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Monroe County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Monroe County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Monroe County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Monroe County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Monroe County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Monroe County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Monroe County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Monroe County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Montgomery County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Montgomery County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Montgomery County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Montgomery County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Montgomery County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Montgomery County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Montgomery County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Montgomery County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Montgomery County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Montgomery County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Montgomery County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Montgomery County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Montgomery County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Montgomery County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Morgan County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Morgan County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Morgan County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Morgan County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Morgan County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Morgan County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Morgan County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Morgan County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Morgan County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Morgan County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Morgan County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Morgan County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Morgan County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Morgan County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Murray County,1,4A,1.17335,-9.266927906,0.68569648
Georgia,Murray County,2,4A,1.14975,-9.266927906,0.68569648
Georgia,Murray County,3,4A,1.5183,-9.266927906,0.68569648
Georgia,Murray County,4,4A,1.3989,-9.266927906,0.68569648
Georgia,Murray County,5,4A,1.62745,-9.266927906,0.68569648
Georgia,Murray County,6,4A,1.5598,-9.266927906,0.68569648
Georgia,Murray County,7,4A,1.77255,-9.266927906,0.68569648
Georgia,Murray County,8,4A,1.8474,-9.266927906,0.68569648
Georgia,Murray County,9,4A,1.9314,-9.266927906,0.68569648
Georgia,Murray County,10,4A,2.1151,-9.266927906,0.68569648
Georgia,Murray County,11,4A,1.28235,-9.266927906,0.68569648
Georgia,Murray County,12,4A,1.43915,-9.266927906,0.68569648
Georgia,Murray County,13,4A,1.36535,-9.266927906,0.68569648
Georgia,Murray County,14,4A,1.5873,-9.266927906,0.68569648
Georgia,Muscogee County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Muscogee County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Muscogee County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Muscogee County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Muscogee County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Muscogee County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Muscogee County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Muscogee County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Muscogee County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Muscogee County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Muscogee County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Muscogee County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Muscogee County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Muscogee County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Newton County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Newton County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Newton County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Newton County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Newton County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Newton County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Newton County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Newton County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Newton County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Newton County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Newton County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Newton County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Newton County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Newton County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Oconee County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Oconee County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Oconee County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Oconee County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Oconee County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Oconee County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Oconee County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Oconee County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Oconee County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Oconee County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Oconee County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Oconee County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Oconee County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Oconee County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Oglethorpe County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Oglethorpe County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Oglethorpe County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Oglethorpe County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Oglethorpe County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Oglethorpe County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Oglethorpe County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Oglethorpe County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Oglethorpe County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Oglethorpe County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Oglethorpe County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Oglethorpe County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Oglethorpe County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Oglethorpe County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Paulding County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Paulding County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Paulding County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Paulding County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Paulding County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Paulding County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Paulding County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Paulding County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Paulding County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Paulding County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Paulding County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Paulding County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Paulding County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Paulding County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Peach County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Peach County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Peach County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Peach County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Peach County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Peach County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Peach County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Peach County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Peach County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Peach County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Peach County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Peach County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Peach County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Peach County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Pickens County,1,4A,1.17335,-9.266927906,0.68569648
Georgia,Pickens County,2,4A,1.14975,-9.266927906,0.68569648
Georgia,Pickens County,3,4A,1.5183,-9.266927906,0.68569648
Georgia,Pickens County,4,4A,1.3989,-9.266927906,0.68569648
Georgia,Pickens County,5,4A,1.62745,-9.266927906,0.68569648
Georgia,Pickens County,6,4A,1.5598,-9.266927906,0.68569648
Georgia,Pickens County,7,4A,1.77255,-9.266927906,0.68569648
Georgia,Pickens County,8,4A,1.8474,-9.266927906,0.68569648
Georgia,Pickens County,9,4A,1.9314,-9.266927906,0.68569648
Georgia,Pickens County,10,4A,2.1151,-9.266927906,0.68569648
Georgia,Pickens County,11,4A,1.28235,-9.266927906,0.68569648
Georgia,Pickens County,12,4A,1.43915,-9.266927906,0.68569648
Georgia,Pickens County,13,4A,1.36535,-9.266927906,0.68569648
Georgia,Pickens County,14,4A,1.5873,-9.266927906,0.68569648
Georgia,Pierce County,1,2A,1.2454,15.08772152,25.29053994
Georgia,Pierce County,2,2A,1.18025,15.08772152,25.29053994
Georgia,Pierce County,3,2A,1.58525,15.08772152,25.29053994
Georgia,Pierce County,4,2A,1.4445,15.08772152,25.29053994
Georgia,Pierce County,5,2A,1.6482,15.08772152,25.29053994
Georgia,Pierce County,6,2A,1.7992,15.08772152,25.29053994
Georgia,Pierce County,7,2A,1.9688,15.08772152,25.29053994
Georgia,Pierce County,8,2A,1.8865,15.08772152,25.29053994
Georgia,Pierce County,9,2A,2.15985,15.08772152,25.29053994
Georgia,Pierce County,10,2A,2.19655,15.08772152,25.29053994
Georgia,Pierce County,11,2A,1.29975,15.08772152,25.29053994
Georgia,Pierce County,12,2A,1.47915,15.08772152,25.29053994
Georgia,Pierce County,13,2A,1.39785,15.08772152,25.29053994
Georgia,Pierce County,14,2A,1.7466,15.08772152,25.29053994
Georgia,Pike County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Pike County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Pike County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Pike County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Pike County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Pike County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Pike County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Pike County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Pike County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Pike County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Pike County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Pike County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Pike County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Pike County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Polk County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Polk County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Polk County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Polk County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Polk County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Polk County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Polk County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Polk County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Polk County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Polk County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Polk County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Polk County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Polk County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Polk County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Pulaski County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Pulaski County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Pulaski County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Pulaski County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Pulaski County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Pulaski County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Pulaski County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Pulaski County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Pulaski County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Pulaski County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Pulaski County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Pulaski County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Pulaski County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Pulaski County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Putnam County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Putnam County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Putnam County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Putnam County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Putnam County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Putnam County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Putnam County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Putnam County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Putnam County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Putnam County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Putnam County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Putnam County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Putnam County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Putnam County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Quitman County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Quitman County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Quitman County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Quitman County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Quitman County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Quitman County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Quitman County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Quitman County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Quitman County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Quitman County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Quitman County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Quitman County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Quitman County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Quitman County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Rabun County,1,4A,1.17335,-9.266927906,0.68569648
Georgia,Rabun County,2,4A,1.14975,-9.266927906,0.68569648
Georgia,Rabun County,3,4A,1.5183,-9.266927906,0.68569648
Georgia,Rabun County,4,4A,1.3989,-9.266927906,0.68569648
Georgia,Rabun County,5,4A,1.62745,-9.266927906,0.68569648
Georgia,Rabun County,6,4A,1.5598,-9.266927906,0.68569648
Georgia,Rabun County,7,4A,1.77255,-9.266927906,0.68569648
Georgia,Rabun County,8,4A,1.8474,-9.266927906,0.68569648
Georgia,Rabun County,9,4A,1.9314,-9.266927906,0.68569648
Georgia,Rabun County,10,4A,2.1151,-9.266927906,0.68569648
Georgia,Rabun County,11,4A,1.28235,-9.266927906,0.68569648
Georgia,Rabun County,12,4A,1.43915,-9.266927906,0.68569648
Georgia,Rabun County,13,4A,1.36535,-9.266927906,0.68569648
Georgia,Rabun County,14,4A,1.5873,-9.266927906,0.68569648
Georgia,Randolph County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Randolph County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Randolph County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Randolph County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Randolph County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Randolph County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Randolph County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Randolph County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Randolph County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Randolph County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Randolph County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Randolph County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Randolph County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Randolph County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Richmond County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Richmond County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Richmond County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Richmond County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Richmond County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Richmond County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Richmond County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Richmond County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Richmond County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Richmond County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Richmond County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Richmond County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Richmond County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Richmond County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Rockdale County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Rockdale County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Rockdale County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Rockdale County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Rockdale County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Rockdale County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Rockdale County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Rockdale County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Rockdale County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Rockdale County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Rockdale County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Rockdale County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Rockdale County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Rockdale County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Schley County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Schley County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Schley County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Schley County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Schley County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Schley County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Schley County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Schley County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Schley County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Schley County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Schley County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Schley County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Schley County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Schley County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Screven County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Screven County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Screven County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Screven County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Screven County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Screven County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Screven County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Screven County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Screven County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Screven County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Screven County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Screven County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Screven County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Screven County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Seminole County,1,2A,1.2454,15.08772152,25.29053994
Georgia,Seminole County,2,2A,1.18025,15.08772152,25.29053994
Georgia,Seminole County,3,2A,1.58525,15.08772152,25.29053994
Georgia,Seminole County,4,2A,1.4445,15.08772152,25.29053994
Georgia,Seminole County,5,2A,1.6482,15.08772152,25.29053994
Georgia,Seminole County,6,2A,1.7992,15.08772152,25.29053994
Georgia,Seminole County,7,2A,1.9688,15.08772152,25.29053994
Georgia,Seminole County,8,2A,1.8865,15.08772152,25.29053994
Georgia,Seminole County,9,2A,2.15985,15.08772152,25.29053994
Georgia,Seminole County,10,2A,2.19655,15.08772152,25.29053994
Georgia,Seminole County,11,2A,1.29975,15.08772152,25.29053994
Georgia,Seminole County,12,2A,1.47915,15.08772152,25.29053994
Georgia,Seminole County,13,2A,1.39785,15.08772152,25.29053994
Georgia,Seminole County,14,2A,1.7466,15.08772152,25.29053994
Georgia,Spalding County,1,3A,1.1968,-7.41320326,0.687173942
Georgia,Spalding County,2,3A,1.15765,-7.41320326,0.687173942
Georgia,Spalding County,3,3A,1.53995,-7.41320326,0.687173942
Georgia,Spalding County,4,3A,1.4143,-7.41320326,0.687173942
Georgia,Spalding County,5,3A,1.63775,-7.41320326,0.687173942
Georgia,Spalding County,6,3A,1.62605,-7.41320326,0.687173942
Georgia,Spalding County,7,3A,1.8597,-7.41320326,0.687173942
Georgia,Spalding County,8,3A,1.87095,-7.41320326,0.687173942
Georgia,Spalding County,9,3A,2.0324,-7.41320326,0.687173942
Georgia,Spalding County,10,3A,2.1448,-7.41320326,0.687173942
Georgia,Spalding County,11,3A,1.2664,-7.41320326,0.687173942
Georgia,Spalding County,12,3A,1.4528,-7.41320326,0.687173942
Georgia,Spalding County,13,3A,1.37885,-7.41320326,0.687173942
Georgia,Spalding County,14,3A,1.60905,-7.41320326,0.687173942
Georgia,Stephens County,1,4A,1.17335,-9.266927906,0.68569648
Georgia,Stephens County,2,4A,1.14975,-9.266927906,0.68569648
Georgia,Stephens County,3,4A,1.5183,-9.266927906,0.68569648
Georgia,Stephens County,4,4A,1.3989,-9.266927906,0.68569648
